airtable_record_id,createdTime,Commitment,Contact (Title),Crunchbase URL,Exits (#),Investment Stage,Investments (#),Investor Type,Location,Organization/Person Name,Priority,Probability,Probably-Weighted Commitment,Source,State,Status,Target
rec0swBUm5HuMCbpD,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/ignition-partners,63,"[""Early Stage Venture""]",278,"[""Venture Capital""]","Bellevue, Washington, United States",Ignition Partners,,0,0,,Washington,,
rec0tZVPclhluDSwF,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/accuitive-medical-ventures,8,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",49,"[""Venture Capital""]","Duluth, Georgia, United States",Accuitive Medical Ventures,,0,0,,Georgia,,
rec0z79z91H1DoS1K,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/initial-capital,4,"[""Early Stage Venture"", ""Seed""]",61,"[""Venture Capital""]","London, England, United Kingdom",Initial Capital,,0,0,,England,,
rec11ZxVw2GwCKmJE,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/entree-capital,7,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",61,"[""Venture Capital""]","London, England, United Kingdom",Entree Capital,,0,0,,England,,
rec12bN8E31cDju9u,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/techstars,95,"[""Debt"", ""Early Stage Venture"", ""Seed""]",745,"[""Accelerator""]","Boulder, Colorado, United States",Techstars,,0,0,,Colorado,,
rec13ik9dkcaAlCMO,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/startmate,2,"[""Seed""]",52,"[""Accelerator""]","Surry Hills, New South Wales, Australia",StartMate,,0,0,,New South Wales,,
rec15W68jW0SrBdc0,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/serena-capital,6,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",47,"[""Venture Capital""]","Paris, Ile-de-France, France",Serena Capital,,0,0,,Ile-de-France,,
rec16dSYJWaWwvM8c,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/giza-venture-capital,44,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",129,"[""Venture Capital""]","Tel Aviv, Tel Aviv, Israel",Giza Venture Capital,,0,0,,Tel Aviv,,
rec1CXptDoYrDmPbn,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/ge-equity,36,"[""Early Stage Venture"", ""Late Stage Venture""]",82,"[""Venture Capital""]","Norwalk, Connecticut, United States",GE Equity,,0,0,,Connecticut,,
rec1Cg4v3ExVQFK95,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/viola-credit,34,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity""]",83,"[""Venture Debt""]","Herzliya, Tel Aviv, Israel",Viola Credit,,0,0,,Tel Aviv,,
rec1GrNkM5H40X7SB,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/finnvera-venture-capital,4,"[""Early Stage Venture"", ""Seed""]",67,"[""Venture Capital""]","Kuopio, Eastern Finland, Finland",Finnvera Venture Capital,,0,0,,Eastern Finland,,
rec1OIH5cc1af7zfx,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/rockstart-accelerator,5,"[""Seed""]",121,"[""Accelerator""]","Amsterdam, Noord-Holland, The Netherlands",Rockstart Accelerator,,0,0,,Noord-Holland,,
rec1ONFNp1WbadiG7,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/battery-ventures,122,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",583,"[""Venture Capital""]","Boston, Massachusetts, United States",Battery Ventures,,0,0,,Massachusetts,,
rec1OitcYJItIf9Vw,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/mmc-ventures,8,"[""Early Stage Venture"", ""Seed""]",74,"[""Venture Capital""]","London, England, United Kingdom",MMC Ventures,,0,0,,England,,
rec1P3YuuWDBEkBxq,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/microsoft-ventures-accelerator-tel-aviv,8,"[""Early Stage Venture"", ""Grant"", ""Non Equity Assistance"", ""Seed""]",114,"[""Accelerator""]","Tel Aviv, Tel Aviv, Israel",Microsoft Accelerator Tel Aviv,,0,0,,Tel Aviv,,
rec1SBVbRfoBIV7O8,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/amgen-ventures,15,"[""Early Stage Venture""]",60,"[""Venture Capital""]","San Francisco, California, United States",Amgen Ventures,,0,0,,California,,
rec1cn0JESqzRm6ti,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/qed-investors,13,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",102,"[""Venture Capital""]","Alexandria, Virginia, United States",QED Investors,,0,0,,Virginia,,
rec1qb6th2bZbUeAz,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/bnp-paribas-private-equity,13,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture""]",55,"[""Private Equity Firm""]","Paris, Ile-de-France, France",BNP Paribas,,0,0,,Ile-de-France,,
rec1uMKBJAS4nrK70,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/teec-angel-fund,16,"[""Early Stage Venture"", ""Seed""]",173,"[""Angel Group""]","Palo Alto, California, United States",TEEC Angel Fund,,0,0,,California,,
rec1xS8tpJln4gAxM,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/healthbox,4,"[""Seed""]",91,"[""Accelerator""]","Chicago, Illinois, United States",Healthbox,,0,0,,Illinois,,
rec21ydO95FKe1zMl,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/new-jersey-economic-development-authority,13,"[""Early Stage Venture""]",60,"[""Government Office""]","Trenton, New Jersey, United States",New Jersey Economic Development Authority,,0,0,,New Jersey,,
rec22DWXSplbA8hrU,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/mountain-group-capital,7,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",48,"[""Venture Capital""]","Nashville, Tennessee, United States",Mountain Group Capital,,0,0,,Tennessee,,
rec23AWTUHlWRCT0v,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/fontinalis-partners,9,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",54,"[""Venture Capital""]","Detroit, Michigan, United States",Fontinalis Partners,,0,0,,Michigan,,
rec24Kui7yq1PyJur,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/shunwei-china-internet-fund,3,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",93,"[""Venture Capital""]","Beijing, Beijing, China",Shunwei Capital,,0,0,,Beijing,,
rec25Rf3LNE4FYFa5,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/1776-ventures,6,"[""Seed""]",54,"[""Incubator""]","Philadelphia, Pennsylvania, United States",1776,,0,0,,Pennsylvania,,
rec27tNTLNPsYvrCc,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/iangels,4,"[""Crowdfunding"", ""Early Stage Venture"", ""Late Stage Venture""]",54,"[""Angel Group""]","Tel Aviv, Tel Aviv, Israel",iAngels,,0,0,,Tel Aviv,,
rec29CrK78NCjOvcs,2018-02-07T01:54:41.000Z,0,,https://www.crunchbase.com/organization/accel-partners,235,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",1136,"[""Venture Capital""]","Palo Alto, California, United States",Accel Partners,,0,0,,California,,
rec29OdhmyvnmabSL,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/cit-gap-funds,18,"[""Early Stage Venture"", ""Private Equity"", ""Seed""]",135,"[""Government Office""]","Herndon, Virginia, United States",CIT GAP Funds,,0,0,,Virginia,,
rec2DHkFasYvYRXUl,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/finance-wales,10,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",75,"[""Government Office"", ""Private Equity Firm""]","Cardiff, Cardiff, United Kingdom",Finance Wales,,0,0,,Cardiff,,
rec2NmrwXXbjrUcO2,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/person/jason-calacanis,13,"[""Seed""]",68,"[""Individual/Angel""]","San Francisco, California, United States",Jason Calacanis,,0,0,,California,,
rec2dXQJCvfYWfdQF,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/kleiner-perkins-caufield-byers,191,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",1009,"[""Venture Capital""]","Menlo Park, California, United States",Kleiner Perkins Caufield & Byers,,0,0,,California,,
rec2gonSQIIAEkALq,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/emerge-venture-lab,,"[""Seed""]",46,"[""Accelerator""]","London, England, United Kingdom",Emerge Education,,0,0,,England,,
rec2gppJEV9wP8Qe1,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/osage-university-partners,22,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",109,"[""Venture Capital""]","Bala Cynwyd, Pennsylvania, United States",Osage University Partners,,0,0,,Pennsylvania,,
rec2iKH0dElaEP5gg,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/sevin-rosen-funds,54,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture""]",207,"[""Venture Capital""]","Dallas, Texas, United States",Sevin Rosen Funds,,0,0,,Texas,,
rec2macvkAWt5jms7,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/allegis-capital,21,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",97,"[""Venture Capital""]","Palo Alto, California, United States",Allegis Capital,,0,0,,California,,
rec2tJkN4pUmwO6U9,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/partech-international,45,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",273,"[""Venture Capital""]","Paris, Ile-de-France, France",Partech Ventures,,0,0,,Ile-de-France,,
rec2tWU0ot67TdQo8,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/index-ventures,114,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",609,"[""Venture Capital""]","Geneva, Geneve, Switzerland",Index Ventures,,0,0,,Geneve,,
rec2zuJRXN8PqtpLt,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/imprimatur-capital,1,"[""Seed""]",77,"[""Venture Capital""]","Riga, Riga, Latvia",Imprimatur Capital Fund Management,,0,0,,Riga,,
rec33kNEyLxp70E03,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/danhua-capital,2,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",91,"[""Venture Capital""]","Palo Alto, California, United States",DHVC (Danhua Capital),,0,0,,California,,
rec3Gw0J2vFGYgi4g,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/hyde-park-venture-partners,9,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",105,"[""Venture Capital""]","Chicago, Illinois, United States",Hyde Park Venture Partners,,0,0,,Illinois,,
rec3JthqTuXSTe0M5,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/samsungnext,11,"[""Early Stage Venture"", ""Seed""]",92,"[""Venture Capital""]","Mountain View, California, United States",SamsungNEXT Ventures,,0,0,,California,,
rec3LA33GyWEZVIMk,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/winklevoss-capital,10,"[""Early Stage Venture"", ""Seed""]",80,"[""Family Investment Office""]","New York, New York, United States",Winklevoss Capital,,0,0,,New York,,
rec3SsVzyD5pfw6Xp,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/forerunner-ventures,11,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",101,"[""Venture Capital""]","San Francisco, California, United States",Forerunner Ventures,,0,0,,California,,
rec3Vc5mixohBw9T2,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/dingman-center-angels,7,"[""Debt"", ""Seed""]",72,"[""Angel Group""]","College Park, Maryland, United States",Dingman Center Angels,,0,0,,Maryland,,
rec3WHJIpBhMDTtxI,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/birchmere-ventures,27,"[""Early Stage Venture"", ""Seed""]",97,"[""Venture Capital""]","Pittsburgh, Pennsylvania, United States",Birchmere Ventures,,0,0,,Pennsylvania,,
rec3WMWHUbwv8YM1e,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/bank-of-america,27,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity""]",73,"[""Investment Bank""]","Charlotte, North Carolina, United States",Bank of America,,0,0,,North Carolina,,
rec3YGLVWpIe1pK8o,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/capricorn-investment-group,10,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity""]",48,"[""Family Investment Office""]","Palo Alto, California, United States",Capricorn Investment Group,,0,0,,California,,
rec3ZXsM19kpP6ot5,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/the-perkins-fund,5,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",58,"[""Micro VC""]","San Francisco, California, United States",The Perkins Fund,,0,0,,California,,
rec3cfU4yeTcyOjQg,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/person/paul-buchheit,35,"[""Seed""]",124,"[""Individual/Angel"", ""Investment Partner""]","Mountain View, California, United States",Paul Buchheit,,0,0,,California,,
rec3d5IAGaKiSqPN9,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/redmile-group,23,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Post-Ipo"", ""Private Equity""]",48,"[""Hedge Fund"", ""Private Equity Firm"", ""Venture Capital""]","San Francisco, California, United States",Redmile Group,,0,0,,California,,
rec3lATt2VmqJH1I7,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/person/fabrice-grinda,39,"[""Early Stage Venture"", ""Seed""]",247,"[""Individual/Angel""]","New York, New York, United States",Fabrice Grinda,,0,0,,New York,,
rec3v8Y3WddRWt64c,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/miramar-venture-partners,15,"[""Early Stage Venture"", ""Seed""]",65,"[""Venture Capital""]","Corona Del Mar, California, United States",Miramar Ventures,,0,0,,California,,
rec42Wqt2txzUyWub,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/stanfordstartx-fund,8,"[""Early Stage Venture"", ""Non Equity Assistance"", ""Seed""]",185,"[""Accelerator""]","Palo Alto, California, United States",StartX,,0,0,,California,,
rec43LSuBXPkVffDH,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/shea-ventures,13,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",56,"[""Venture Capital""]","Walnut, California, United States",Shea Ventures,,0,0,,California,,
rec43ik0jeIe7JfnD,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/gree-ventures,9,"[""Early Stage Venture"", ""Seed""]",52,"[""Venture Capital""]","Tokyo, Tokyo, Japan",GREE Ventures,,0,0,,Tokyo,,
rec4CTwYGgZ87FpA6,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/commerce-ventures,4,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",61,"[""Venture Capital""]","San Francisco, California, United States",Commerce Ventures,,0,0,,California,,
rec4CgoZF0lvsfsw6,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/fg-angels,9,"[""Seed""]",50,"[""Angel Group""]","Boulder, Colorado, United States",FG Angels,,0,0,,Colorado,,
rec4E3JXAothxZxPr,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/third-rock-ventures,19,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",78,"[""Venture Capital""]","Boston, Massachusetts, United States",Third Rock Ventures,,0,0,,Massachusetts,,
rec4Hy5Edmc0G5CkO,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/crosspoint-venture-partners,33,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture""]",83,"[""Venture Capital""]","Redwood City, California, United States",Crosspoint Venture Partners,,0,0,,California,,
rec4LaPMkfUedWPDk,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/peak-ventures,2,"[""Early Stage Venture"", ""Seed""]",50,"[""Venture Capital""]","Provo, Utah, United States",Peak Ventures,,0,0,,Utah,,
rec4OsfjDLcezx2WO,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/valar-ventures,4,"[""Early Stage Venture"", ""Late Stage Venture""]",55,"[""Venture Capital""]","New York, New York, United States",Valar Ventures,,0,0,,New York,,
rec4gODkrbkW6G4ph,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/dfj-frontier,13,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",76,"[""Venture Capital""]","Santa Monica, California, United States",Frontier Venture Capital,,0,0,,California,,
rec4hZhpkZlt4PbFW,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/galvanize,9,"[""Early Stage Venture"", ""Seed""]",69,"[""Incubator""]","Denver, Colorado, United States",Galvanize Ventures 1,,0,0,,Colorado,,
rec4lgD5SakhXrAHE,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/venture-alberta,7,"[""Early Stage Venture""]",187,"[""Angel Group""]","Calgary, Alberta, Canada",VA Angels,,0,0,,Alberta,,
rec4o0gsy8Y8IbHMi,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/siemer-ventures,29,"[""Early Stage Venture"", ""Seed""]",278,"[""Venture Capital""]","Santa Monica, California, United States",Wavemaker Partners,,0,0,,California,,
rec4yKwV4LQ8rOh8J,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/go-beyond,3,"[""Early Stage Venture""]",135,"[""Angel Group""]","Zürich, Zurich, Switzerland",Go Beyond Investing,,0,0,,Zurich,,
rec557jxtk9hizBid,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/indian-angel-network,2,"[""Early Stage Venture"", ""Seed""]",68,"[""Angel Group""]","New Delhi, Delhi, India",Indian Angel Network,,0,0,,Delhi,,
rec55ljJWJdL6roc8,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/rothenberg-ventures,15,"[""Early Stage Venture"", ""Seed""]",102,"[""Micro VC""]","San Francisco, California, United States",Rothenberg Ventures,,0,0,,California,,
rec57JeZdcBgx3vTd,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/elaia-partners,11,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",66,"[""Private Equity Firm""]","Paris, Ile-de-France, France",Elaia Partners,,0,0,,Ile-de-France,,
rec5AvOZyAfB5UK2k,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/bullpen-capital,10,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",75,"[""Micro VC""]","Menlo Park, California, United States",Bullpen Capital,,0,0,,California,,
rec5D2eNLFmTJuG8Y,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/rincon-venture-partners,10,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",71,"[""Venture Capital""]","Santa Barbara, California, United States",Rincon Venture Partners,,0,0,,California,,
rec5Dy2xBkv2amEED,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/ggv-capital,64,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",345,"[""Venture Capital""]","Menlo Park, California, United States",GGV Capital,,0,0,,California,,
rec5ELcw9U9IR2Bic,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/citi-ventures,11,"[""Early Stage Venture""]",57,"[""Corporate Venture Capital"", ""Venture Capital""]","Palo Alto, California, United States",Citi Ventures,,0,0,,California,,
rec5EWt1Ie1vIxLD8,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/relay-ventures,30,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",131,"[""Venture Capital""]","Menlo Park, California, United States",Relay Ventures,,0,0,,California,,
rec5HcLzp7R7fmaoG,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/general-atlantic,53,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity""]",152,"[""Private Equity Firm""]","New York, New York, United States",General Atlantic,,0,0,,New York,,
rec5IW1NNIYsn4Qtu,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/angel-ventures-mexico,1,"[""Early Stage Venture"", ""Seed""]",47,"[""Venture Capital""]","Mexico City, Distrito Federal, Mexico",Angel Ventures,,0,0,,Distrito Federal,,
rec5WEXMeDKh9Hsm7,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/nextview-ventures,14,"[""Debt"", ""Seed""]",104,"[""Venture Capital""]","Boston, Massachusetts, United States",NextView Ventures,,0,0,,Massachusetts,,
rec5cYBtKhMuHr49u,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/norwest-venture-partners,116,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",533,"[""Venture Capital""]","Palo Alto, California, United States",Norwest Venture Partners - NVP,,0,0,,California,,
rec5kvzQFc9WU4UuS,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/kennet-venture-partners,32,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity""]",72,"[""Venture Capital""]","London, England, United Kingdom",Kennet Partners,,0,0,,England,,
rec66UpYSRkIklUhx,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/octopus-ventures,25,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",174,"[""Venture Capital""]","London, England, United Kingdom",Octopus Ventures,,0,0,,England,,
rec683NNuE2Fqzokh,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/edison-ventures,45,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity""]",186,"[""Corporate Venture Capital""]","Princeton, New Jersey, United States",Edison Partners,,0,0,,New Jersey,,
rec6ASouQGAil4nBT,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/applied-ventures,11,"[""Early Stage Venture"", ""Late Stage Venture"", ""Seed""]",55,"[""Corporate Venture Capital""]","Santa Clara, California, United States",Applied Ventures,,0,0,,California,,
rec6Colg6oZ3D7bLl,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/founder-collective,68,"[""Seed""]",316,"[""Micro VC""]","Cambridge, Massachusetts, United States",Founder Collective,,0,0,,Massachusetts,,
rec6GOw8npG6pABsB,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/pilot-house-ventures,14,"[""Early Stage Venture"", ""Late Stage Venture""]",53,"[""Venture Capital""]","Boston, Massachusetts, United States",Pilot House Ventures,,0,0,,Massachusetts,,
rec6KNPb3bQqlCovP,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/global-catalyst-partners,7,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture""]",52,"[""Venture Capital""]","Redwood Shores, California, United States",Global Catalyst Partners,,0,0,,California,,
rec6NHDnBpD2FX8Mg,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/comcast-interactive-capital,55,"[""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",239,"[""Corporate Venture Capital"", ""Venture Capital""]","San Francisco, California, United States",Comcast Ventures,,0,0,,California,,
rec6Sfbp6DnYYBwDU,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/isai,6,"[""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",49,"[""Venture Capital""]","Paris, Ile-de-France, France",Isai,,0,0,,Ile-de-France,,
rec6W1rsi5j6Uv2rm,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/xg-ventures,17,"[""Early Stage Venture"", ""Seed""]",92,"[""Micro VC""]","Menlo Park, California, United States",XG Ventures,,0,0,,California,,
rec6Y2TfhjlB8GVNy,2018-02-03T00:56:13.000Z,0,,https://www.crunchbase.com/organization/sv-angel,234,"[""Crowdfunding"", ""Debt"", ""Early Stage Venture"", ""Late Stage Venture"", ""Private Equity"", ""Seed""]",800,"[""Micro VC""]","San Francisco, California, United States",SV Angel,,0,0,,California,,
